ruta;bloque;extension;bytes;lineas;sintaxis_ok;imports_relativos_no_resueltos;marcador_temporal_todo;usa_any
src/application/export/ExportProgressTracker.ts;Exportación;.ts;3240;194;SI;0;NO;NO
src/application/export/ExportQueue.ts;Exportación;.ts;2752;196;SI;0;NO;NO
src/application/export/ExportReportGenerator.ts;Exportación;.ts;2892;197;SI;0;NO;NO
src/application/export/ExportScheduler.ts;Exportación;.ts;2445;153;SI;0;NO;NO
src/application/export/ExportService.ts;Exportación;.ts;2410;143;SI;0;SI;NO
src/application/export/ExportSession.ts;Exportación;.ts;3845;256;SI;0;NO;NO
src/application/export/ExportStatistics.ts;Exportación;.ts;3608;249;SI;0;NO;NO
src/application/export/ExportTemplateEngine.ts;Exportación;.ts;3215;211;SI;0;SI;NO
src/application/export/ExportValidator.ts;Exportación;.ts;2901;192;SI;0;NO;NO
src/application/export/HTMLExporter.ts;Exportación;.ts;2245;166;SI;0;NO;SI
src/application/export/JSONExporter.ts;Exportación;.ts;1845;124;SI;0;NO;SI
src/application/export/MarkdownExporter.ts;Exportación;.ts;1925;127;SI;0;NO;SI
src/application/export/PDFExporter.ts;Exportación;.ts;2002;131;SI;0;SI;SI
src/application/export/XMLExporter.ts;Exportación;.ts;3299;218;SI;0;NO;SI
src/application/export/ZIPExporter.ts;Exportación;.ts;3207;217;SI;0;SI;NO
src/application/export/index.ts;Exportación;.ts;1236;62;SI;0;NO;NO
src/application/generation/DocumentGenerationPipeline.ts;Motor documental y generación;.ts;2614;163;SI;0;SI;NO
src/application/generation/ExpedienteGenerator.ts;Motor documental y generación;.ts;2794;181;SI;0;NO;SI
src/application/generation/GenerationContext.ts;Motor documental y generación;.ts;3836;256;SI;0;NO;NO
src/application/generation/GenerationCoordinator.ts;Motor documental y generación;.ts;2166;116;SI;0;NO;SI
src/application/generation/GenerationPipeline.ts;Motor documental y generación;.ts;2623;166;SI;0;NO;NO
src/application/generation/GenerationStepFactory.ts;Motor documental y generación;.ts;2872;167;SI;0;NO;NO
src/application/generation/generators/CriteriosAdjudicacionGenerator.ts;Motor documental y generación;.ts;3165;171;SI;0;NO;SI
src/application/generation/generators/InformeInsuficienciaMediosGenerator.ts;Motor documental y generación;.ts;2906;131;SI;0;NO;SI
src/application/generation/generators/InformeNecesidadGenerator.ts;Motor documental y generación;.ts;2729;134;SI;0;NO;SI
src/application/generation/generators/InformeProcedimientoGenerator.ts;Motor documental y generación;.ts;3563;151;SI;0;NO;SI
src/application/generation/generators/MemoriaJustificativaGenerator.ts;Motor documental y generación;.ts;2389;120;SI;0;NO;SI
src/application/generation/generators/PCAPGenerator.ts;Motor documental y generación;.ts;3369;174;SI;0;NO;SI
src/application/generation/generators/PPTGenerator.ts;Motor documental y generación;.ts;2877;149;SI;0;NO;SI
src/application/generation/generators/ResolucionInicioGenerator.ts;Motor documental y generación;.ts;3201;139;SI;0;NO;SI
src/application/integration/ApplicationKernel.ts;Integración de aplicación;.ts;2949;149;SI;1;SI;NO
src/application/integration/WorkflowOrchestrator.ts;Integración de aplicación;.ts;3701;201;SI;1;SI;SI
src/application/modules/contract-generator/ContractContext.ts;Integración de aplicación;.ts;72172;3500;NO;4;SI;NO
src/application/modules/contract-generator/ContractGenerator.ts;Integración de aplicación;.ts;74077;4693;SI;8;SI;SI
